ride_no,origin,destination,driver_netid,date,earliest_time,latest_time,seats_available,gas_price,comments
16,"San Francisco, CA","Durham, NC",ijs5,2020-01-02,00:00:00,23:59:59,1,200,join me on a road trip!
17,"New York, NY","Durham, NC",mjb128,2020-01-02,00:01:00,23:59:00,2,50,going to 360 East 88th Street
20,"Dallas, TX","Durham, NC",gal16,2020-01-02,04:00:00,04:30:00,3,75,need someone who will help me drive
23,"Detroit, MI","Durham, NC",agk19,2020-02-14,06:00:00,06:01:00,1,50,going to 2636 McAlpine
24,"Myrtle Beach, SC","Durham, NC",agk19,2020-05-01,07:00:00,07:45:00,4,25,yay
25,"Los Angeles, CA","Durham, NC",agk19,2020-08-22,08:00:00,10:00:00,1,200,"long ride, need help"
27,"Denver, CO","Durham, NC",ijs5,2020-12-24,10:00:00,10:15:00,3,75,no pets please
32,"Washington, DC","Durham, NC",mjb128,2020-03-29,14:00:00,15:00:00,5,50,
34,"Durham, NC","Miami, FL",mjb128,2020-05-05,15:00:00,15:01:00,5,100,to sunnier days
35,"Durham, NC","Charlotte, NC",agk19,2020-07-04,16:00:00,16:15:00,6,15,
36,"Durham, NC","Chicago, IL",ijs5,2020-06-20,17:00:00,23:40:00,2,,searching for fellow deep dish lovers
40,"Durham, NC","New York, NY",agk19,2020-12-25,20:00:00,23:59:00,3,,Long drive home
41,"Durham, NC","Philadelphia, PA",gal16,2020-07-07,21:00:00,21:45:00,1,50,
42,"Durham, NC","Houston, TX",gal16,2020-11-25,22:00:00,22:50:00,1,300,Yeehaw
43,"Durham, NC","Phoenix, AZ",mjb128,2020-01-06,23:00:00,23:10:00,1,250,Road trip
45,"Durham, NC","San Francisco, CA",cas175,2020-02-28,09:00:00,19:00:00,4,300,Going home
46,"Durham, NC","Washington, DC",cas175,2020-01-19,15:00:00,15:20:00,4,,
47,"Durham, NC","Detroit, MI",ijs5,2020-09-05,21:00:00,21:45:00,1,100,I can drop off at the Motown Museum
48,"Durham, NC","Boston, MA",cas175,2020-05-30,00:00:00,23:59:00,2,175,
49,"Durham, NC","Nashville, TN",mjb128,2020-11-04,00:00:00,12:00:00,2,60,Searching for good music
26,"Charlotte, NC","Durham, NC",ijs5,2020-10-04,09:00:00,23:59:00,0,10,
28,"Miami, FL","Durham, NC",cas175,2020-08-20,11:00:00,13:30:00,1,,bring your swimsuit
29,"Raleigh, NC","Durham, NC",cas175,2020-05-01,12:00:00,13:05:00,2,,
44,"Durham, NC","Denver, CO",ijs5,2020-01-08,12:00:00,12:45:00,2,250,Ski trip
21,"New York, NY","Durham, NC",gal16,2020-01-10,05:00:00,20:00:00,1,,good singers only
30,"Seattle, WA","Durham, NC",cas175,2020-04-20,13:00:00,15:30:00,0,300,bad weather expected
18,"New York, NY","Durham, NC",mjb128,2020-01-03,02:00:00,05:00:00,2,75,no pets please
19,"Raleigh, NC","Durham, NC",mjb128,2020-01-01,03:00:00,08:00:00,5,5,do not have much room in trunk
52,"Asheville, NC","Durham, NC",cas175,2020-05-20,17:30:00,18:30:00,4,,
53,"Durham, NC","Aspen, CO",cas175,2020-06-06,14:00:00,22:00:00,3,20,test
60,"Atlanta, GA","Austin, TX",gal16,2020-06-16,05:00:00,21:00:00,4,40,I like the sun
61,"Arlington, TX","Austin, TX",gal16,2020-06-17,06:00:00,20:00:00,3,45,
62,"Kansas City, MO","Los Angeles, CA",gal16,2020-06-20,07:00:00,21:00:00,4,65,comment2
63,"Durham, NC","Louisville, KY",gal16,2020-06-22,08:00:00,20:00:00,2,30,2 dogs
67,"Washington, DC","Durham, NC",mlr87,2020-08-20,08:15:00,09:45:00,1,20.5,away formal
68,"Asheville, NC","Durham, NC",srj99,2020-08-30,20:30:00,23:59:00,2,60,going home
69,"Durham, NC","Miami, FL",mah129,2020-11-26,09:45:00,22:40:00,5,80,
71,"Miami, FL","Durham, NC",mah129,2020-08-27,15:30:00,20:00:00,4,80,coming back for Duke Engage
72,"Durham, NC","Washington, DC",mlr87,2020-08-30,00:00:00,23:59:00,2,60,no space for extra luggage
39,"Durham, NC","Raleigh, NC",ijs5,2020-02-03,19:00:00,23:59:00,0,25,going to 123 Main Street
54,"Aspen, CO","Durham, NC",gal16,2020-06-07,14:00:00,21:00:00,0,10,
55,"Durham, NC","New York, NY",gal16,2020-06-08,02:00:00,03:00:00,1,5,Big apple
56,"New York, NY","Durham, NC",gal16,2020-06-25,01:00:00,21:00:00,0,70,Lots of tolls
57,"Asheville, NC","Aspen, CO",gal16,2020-06-09,02:00:00,20:00:00,0,,
58,"High Point, NC","Fresno, CA",gal16,2020-06-11,03:00:00,21:00:00,1,20,Fav place?
59,"Baltimore, MD","Boca Grande, FL",gal16,2020-06-13,04:00:00,20:00:00,1,30,
74,"Dallas, TX","Houston, TX",ijs5,2020-04-04,04:00:00,12:00:00,3,20,
75,"New York, NY","Miami, FL",ls320,2020-04-20,08:00:00,12:00:00,3,20,
76,"Miami, FL","Washington, DC",ls320,2020-05-08,09:00:00,12:00:00,3,20,
